2021-10-10 rhd/djb profiling Alignment hypergraph to variant graph with networkx and masked arrays
3 paragraphs, 6 witnesses


         666764493 function calls (666751257 primitive calls) in 976.042 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 14020274  160.629    0.000  465.925    0.000 core.py:2975(__array_finalize__)
 21033816  146.783    0.000  437.059    0.000 {built-in method numpy.array}
 14040128  122.705    0.000  186.407    0.000 core.py:2949(_update_from)
  6986974   91.293    0.000  533.293    0.000 2162113027.py:1(convert_hyperedge_to_masked_array)
  6993592   71.609    0.000  776.661    0.000 core.py:2819(__new__)
 49031299   41.376    0.000   41.376    0.000 core.py:3406(dtype)
147341928   37.976    0.000   37.976    0.000 {built-in method builtins.getattr}
 63577411   30.358    0.000   30.358    0.000 {method 'update' of 'dict' objects}
 13993802   29.568    0.000   40.472    0.000 core.py:1316(_replace_dtype_fields)
 41921922   19.035    0.000   19.035    0.000 1852941637.py:21(__contains__)
 91216156   18.578    0.000   18.578    0.000 {method 'append' of 'list' objects}
7033300/7026682   17.958    0.000   18.015    0.000 {method 'view' of 'numpy.generic' objects}
     6618   16.785    0.003  960.452    0.145 3462547911.py:1(check_whether_okay_to_place)
  6986974   16.488    0.000   16.488    0.000 {method 'astype' of 'numpy.ndarray' objects}
 56236697   15.894    0.000   15.894    0.000 {built-in method builtins.isinstance}
     6618   15.296    0.002  357.956    0.054 core.py:2868(<listcomp>)
7092862/7086244   13.621    0.000  188.732    0.000 {method 'view' of 'numpy.ndarray' objects}
 28439193   13.285    0.000   13.285    0.000 1852941637.py:19(__getitem__)
 21033720   12.592    0.000   19.276    0.000 core.py:1363(getmask)
 14013656   11.962    0.000   11.962    0.000 core.py:3422(shape)
 13993802   11.469    0.000   51.941    0.000 core.py:1330(make_mask_descr)
 13993802   10.905    0.000   10.905    0.000 core.py:1284(_replace_dtype_fields_recursive)
     6618    8.571    0.001  925.048    0.140 3669642993.py:1(convert_alignment_graph_to_numpy_masked_array)
  6986974    5.363    0.000   11.657    0.000 core.py:1425(getmaskarray)
     6618    5.333    0.001    6.999    0.001 core.py:1011(__call__)
  6980356    4.849    0.000  331.009    0.000 _asarray.py:86(asanyarray)
    72894    4.140    0.000    4.140    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   390166    3.126    0.000    6.683    0.000 1013800550.py:1(merge_hyperedge)
     9317    2.235    0.000    2.235    0.000 socket.py:342(send)
  7013446    1.892    0.000    1.978    0.000 {built-in method builtins.hasattr}
